,Series_Type,Series_Name
223,CASANM0URN,"Unemployment Rate in San Mateo County, CA"
224,CASANT1URN,"Unemployment Rate in Santa Barbara County, CA"
225,CASANT3URN,"Unemployment Rate in Santa Cruz County, CA"
226,CASANT5URN,"Unemployment Rate in Santa Clara County, CA"
227,CASHAS5URN,"Unemployment Rate in Shasta County, CA"
228,CASIER1URN,"Unemployment Rate in Sierra County, CA"
229,CASISK3URN,"Unemployment Rate in Siskiyou County, CA"
230,CASOLA5URN,"Unemployment Rate in Solano County, CA"
231,CASONO6URN,"Unemployment Rate in Sonoma County, CA"
232,CASTAN7URN,"Unemployment Rate in Stanislaus County, CA"
233,CASUTT0URN,"Unemployment Rate in Sutter County, CA"
234,CATEHA3URN,"Unemployment Rate in Tehama County, CA"
235,CATRIN5URN,"Unemployment Rate in Trinity County, CA"
236,CATULA1URN,"Unemployment Rate in Tulare County, CA"
237,CATUOL9URN,"Unemployment Rate in Tuolumne County, CA"
238,CAVENT2URN,"Unemployment Rate in Ventura County, CA"
239,CAYOLO3URN,"Unemployment Rate in Yolo County, CA"
240,CAYUBA5URN,"Unemployment Rate in Yuba County, CA"
241,COADAM1URN,"Unemployment Rate in Adams County, CO"
242,COALAM3URN,"Unemployment Rate in Alamosa County, CO"
243,COARAP0URN,"Unemployment Rate in Arapahoe County, CO"
244,COARCH7URN,"Unemployment Rate in Archuleta County, CO"
245,COBACA9URN,"Unemployment Rate in Baca County, CO"
246,COBENT1URN,"Unemployment Rate in Bent County, CO"
247,COBOUL3URN,"Unemployment Rate in Boulder County, CO"
248,COBROO4URN,"Unemployment Rate in Broomfield County/City, CO"
249,COCHAF5URN,"Unemployment Rate in Chaffee County, CO"
250,COCHEY7URN,"Unemployment Rate in Cheyenne County, CO"
251,COCLEA9URN,"Unemployment Rate in Clear Creek County, CO"
252,COCONE1URN,"Unemployment Rate in Conejos County, CO"
253,COCOST3URN,"Unemployment Rate in Costilla County, CO"
254,COCROW5URN,"Unemployment Rate in Crowley County, CO"
255,COCUST7URN,"Unemployment Rate in Custer County, CO"
256,CODELT9URN,"Unemployment Rate in Delta County, CO"
257,CODENV5URN,"Unemployment Rate in Denver County/City, CO"
258,CODOLO3URN,"Unemployment Rate in Dolores County, CO"
259,CODOUG5URN,"Unemployment Rate in Douglas County, CO"
260,COEAGL7URN,"Unemployment Rate in Eagle County, CO"
261,COELBE9URN,"Unemployment Rate in Elbert County, CO"
262,COELPA0URN,"Unemployment Rate in El Paso County, CO"
263,COFREM3URN,"Unemployment Rate in Fremont County, CO"
264,COGARF5URN,"Unemployment Rate in Garfield County, CO"
265,COGILP7URN,"Unemployment Rate in Gilpin County, CO"
266,COGRAN9URN,"Unemployment Rate in Grand County, CO"
267,COGUNN1URN,"Unemployment Rate in Gunnison County, CO"
268,COHINS3URN,"Unemployment Rate in Hinsdale County, CO"
269,COHUER5URN,"Unemployment Rate in Huerfano County, CO"
270,COJACK7URN,"Unemployment Rate in Jackson County, CO"
271,COJEFF9URN,"Unemployment Rate in Jefferson County, CO"
272,COKIOW1URN,"Unemployment Rate in Kiowa County, CO"
273,COKITC3URN,"Unemployment Rate in Kit Carson County, CO"
274,COLAKE5URN,"Unemployment Rate in Lake County, CO"
275,COLAPL7URN,"Unemployment Rate in La Plata County, CO"
276,COLARI1URN,"Unemployment Rate in Larimer County, CO"
